slr_select	z_init	c_flood	c_flood_nourishment	nourishment_frequency	rho_deposit	s_subsidence	fd	crit_year	growth_total	end_dist	slope_norm	slope_norm_10	est_time	est_crit_year	class	Policy Combined
high	0.7	0.05	0.5	5	800	0.005	0.4	2073	-0.107	0.018	-0.029	-0.026	13.869	2073.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.05	0.0	1	1200	0.005	0.6	2101	-0.199	0.012	-0.017	-0.016	1.314	2102.0	2.0	No Nourishment | Marsh Restoration
mean	0.7	0.05	0.0	1	1200	0.005	0.6	2074	-0.382	0.0	-0.03	-0.031	10.51	2074.0	1.0	No Nourishment | Marsh Restoration
mean	0.7	0.05	0.3	5	400	0.003	0.6	2101	0.439	0.332	-0.007	-0.026	24.567	2126.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.05	0.3	5	400	0.003	0.6	2095	0.339	0.005	-0.02	-0.047	8.828	2095.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.05	0.3	5	400	0.005	0.6	2101	0.479	0.69	0.001	-0.011	109.522	2211.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.05	0.3	5	400	0.005	0.6	2101	0.396	0.289	-0.008	-0.027	20.734	2122.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.05	0.3	5	400	0.005	0.6	2093	0.298	0.025	-0.02	-0.039	9.43	2093.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.05	0.3	5	800	0.003	0.6	2101	0.303	0.513	-0.002	-0.009	94.43	2195.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.05	0.3	5	800	0.003	0.6	2101	0.181	0.073	-0.014	-0.028	5.382	2106.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.05	0.3	5	800	0.003	0.6	2078	0.031	0.025	-0.025	-0.026	14.895	2078.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.05	0.3	5	1200	0.005	0.6	2101	0.062	0.272	-0.009	-0.012	38.655	2140.0	3.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.05	0.3	5	1200	0.005	0.6	2088	-0.087	0.012	-0.021	-0.025	9.488	2088.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.05	0.3	10	400	0.003	0.6	2101	0.435	0.646	0.001	-0.014	79.934	2181.0	4.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.05	0.3	5	800	0.003	0.4	2070	-0.186	0.002	-0.034			2070.0	1.0	Nourishment (5 years) | Conservation
high	0.7	0.05	0.3	5	800	0.005	0.4	2067	-0.268	0.02	-0.037			2067.0	1.0	Nourishment (5 years) | Conservation
high	0.7	0.05	0.3	5	1200	0.003	0.4	2064	-0.393	0.015	-0.042			2064.0	1.0	Nourishment (5 years) | Conservation
high	0.7	0.05	0.3	5	1200	0.005	0.4	2062	-0.49	0.021	-0.047			2062.0	1.0	Nourishment (5 years) | Conservation
high	0.7	0.05	0.3	10	800	0.003	0.4	2065	-0.344	0.023	-0.04			2065.0	1.0	Nourishment (10 years) | Conservation
high	0.7	0.05	0.3	10	800	0.005	0.4	2064	-0.437	0.002	-0.045			2064.0	1.0	Nourishment (10 years) | Conservation
high	0.7	0.05	0.3	5	1200	0.003	0.6	2070	-0.186	0.002	-0.034			2070.0	1.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.05	0.3	5	1200	0.005	0.6	2067	-0.268	0.02	-0.037			2067.0	1.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.05	0.3	10	800	0.005	0.6	2068	-0.212	0.015	-0.034			2068.0	1.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.05	0.3	10	1200	0.003	0.6	2065	-0.344	0.023	-0.04			2065.0	1.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.05	0.5	10	1200	0.003	0.6	2067	-0.252	0.016	-0.035			2067.0	1.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.05	0.5	10	1200	0.005	0.6	2065	-0.34	0.022	-0.039			2065.0	1.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.1	0.0	1	800	0.005	0.4	2068	-0.241	0.006	-0.037			2068.0	1.0	No nourishment | Conservation
high	0.7	0.1	0.3	10	1200	0.005	0.4	2065	-0.367	0.005	-0.042			2065.0	1.0	Nourishment (10 years) | Conservation
mean	0.7	0.05	0.3	10	400	0.003	0.6	2101	0.335	0.227	-0.009	-0.033	13.574	2115.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.05	0.3	10	400	0.003	0.6	2088	0.214	0.014	-0.02	-0.027	13.603	2088.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.05	0.3	10	400	0.005	0.6	2101	0.381	0.592	0.0	-0.015	65.168	2166.0	3.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.05	0.3	10	800	0.005	0.6	2101	0.105	0.316	-0.007	-0.016	33.402	2134.0	3.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.05	0.3	10	800	0.005	0.6	2090	-0.037	0.007	-0.019	-0.029	9.151	2090.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.05	0.3	10	1200	0.003	0.6	2101	0.026	0.237	-0.01	-0.016	25.851	2127.0	2.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.05	0.3	10	1200	0.003	0.6	2085	-0.14	0.008	-0.022	-0.023	11.197	2085.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.05	0.3	10	1200	0.005	0.6	2101	-0.068	0.143	-0.012	-0.019	13.505	2115.0	2.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.05	0.3	10	1200	0.005	0.6	2079	-0.234	0.006	-0.025	-0.028	10.287	2079.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.05	0.5	1	800	0.003	0.4	2101	0.631	0.842	0.003	-0.009	160.652	2262.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.05	0.5	1	800	0.003	0.4	2101	0.563	0.456	-0.007	-0.025	36.888	2138.0	3.0	Nourishment (annual) | Conservation
high	0.7	0.05	0.5	1	800	0.003	0.4	2101	0.485	0.006	-0.023	-0.053	0.295	2101.0	2.0	Nourishment (annual) | Conservation
low	0.7	0.05	0.5	1	800	0.005	0.4	2101	0.594	0.805	0.002	-0.01	145.305	2246.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.05	0.5	1	800	0.005	0.4	2101	0.53	0.423	-0.008	-0.026	33.963	2135.0	3.0	Nourishment (annual) | Conservation
high	0.7	0.05	0.5	1	800	0.005	0.4	2100	0.456	0.006	-0.023	-0.036	13.768	2100.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.05	0.5	1	1200	0.003	0.4	2101	0.541	0.752	0.002	-0.008	159.103	2260.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.05	0.5	1	1200	0.003	0.4	2101	0.46	0.353	-0.008	-0.025	29.46	2130.0	3.0	Nourishment (annual) | Conservation
high	0.7	0.05	0.5	1	1200	0.003	0.4	2095	0.365	0.02	-0.021	-0.046	9.434	2095.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.05	0.5	1	1200	0.005	0.4	2101	0.498	0.708	0.001	-0.009	141.054	2242.0	4.0	Nourishment (annual) | Conservation
mean	0.7	0.05	0.5	1	1200	0.005	0.4	2101	0.419	0.312	-0.009	-0.025	25.691	2127.0	2.0	Nourishment (annual) | Conservation
high	0.7	0.05	0.5	1	1200	0.005	0.4	2094	0.326	0.003	-0.022	-0.047	8.185	2094.0	1.0	Nourishment (annual) | Conservation
low	0.7	0.05	0.5	5	800	0.003	0.4	2101	0.255	0.465	-0.003	-0.01	80.228	2181.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.05	0.5	5	800	0.003	0.4	2101	0.125	0.017	-0.016	-0.029	1.205	2102.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.05	0.5	5	800	0.003	0.4	2075	-0.036	0.006	-0.027	-0.037	10.861	2075.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.05	0.5	5	1200	0.003	0.4	2101	0.094	0.305	-0.008	-0.012	45.31	2146.0	3.0	Nourishment (5 years) | Conservation
mean	0.7	0.05	0.5	5	1200	0.003	0.4	2089	-0.062	0.016	-0.02	-0.024	9.61	2089.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.05	0.5	5	1200	0.005	0.4	2101	0.007	0.217	-0.01	-0.014	27.919	2129.0	2.0	Nourishment (5 years) | Conservation
mean	0.7	0.05	0.3	1	1200	0.005	0.4	2101	0.258	0.151	-0.013	-0.025	12.555	2114.0	2.0	Nourishment (annual) | Conservation
low	0.7	0.05	0.3	5	1200	0.003	0.4	2101	-0.012	0.199	-0.011	-0.013	26.42	2127.0	2.0	Nourishment (5 years) | Conservation
mean	0.7	0.05	0.3	5	1200	0.003	0.4	2082	-0.183	0.016	-0.024	-0.027	10.968	2082.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.05	0.3	10	800	0.003	0.4	2101	0.026	0.237	-0.01	-0.016	25.851	2127.0	2.0	Nourishment (10 years) | Conservation
mean	0.7	0.05	0.3	10	800	0.003	0.4	2085	-0.14	0.008	-0.022	-0.023	11.197	2085.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.05	0.3	10	800	0.005	0.4	2101	-0.068	0.143	-0.012	-0.019	13.505	2115.0	2.0	Nourishment (10 years) | Conservation
high	0.7	0.05	0.3	1	1200	0.003	0.6	2095	0.352	0.007	-0.021	-0.045	8.769	2095.0	1.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.05	0.3	1	1200	0.005	0.6	2101	0.488	0.699	0.001	-0.009	140.598	2242.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.05	0.3	1	1200	0.005	0.6	2101	0.408	0.3	-0.009	-0.025	24.741	2126.0	2.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.05	0.3	1	1200	0.005	0.6	2093	0.313	0.009	-0.022	-0.045	8.495	2093.0	1.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.05	0.3	5	400	0.003	0.6	2101	0.525	0.735	0.002	-0.01	126.638	2228.0	4.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.05	0.3	5	800	0.005	0.6	2101	0.236	0.447	-0.004	-0.011	73.364	2174.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.05	0.3	5	800	0.005	0.6	2101	0.114	0.007	-0.016	-0.029	0.484	2101.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.05	0.3	5	800	0.005	0.6	2075	-0.036	0.003	-0.027	-0.036	10.802	2075.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.05	0.3	5	1200	0.003	0.6	2101	0.144	0.355	-0.006	-0.011	58.015	2159.0	3.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.05	0.3	5	1200	0.003	0.6	2093	-0.004	0.018	-0.019	-0.023	10.744	2093.0	1.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.05	0.3	10	400	0.005	0.6	2101	0.283	0.175	-0.01	-0.035	9.899	2111.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.05	0.3	10	400	0.005	0.6	2086	0.163	0.009	-0.021	-0.019	20.182	2086.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.05	0.3	10	800	0.003	0.6	2101	0.184	0.395	-0.005	-0.014	47.807	2149.0	3.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.05	0.3	10	800	0.003	0.6	2097	0.042	0.016	-0.017	-0.018	12.961	2097.0	1.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.05	0.3	10	800	0.003	0.6	2073	-0.133	0.013	-0.031	-0.031	11.765	2073.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.05	0.5	10	400	0.003	0.4	2101	0.362	0.572	0.0	-0.016	61.035	2162.0	3.0	Nourishment (10 years) | Conservation
