slr_select	z_init	c_flood	c_flood_nourishment	nourishment_frequency	rho_deposit	s_subsidence	fd	crit_year	growth_total	end_dist	slope_norm	slope_norm_10	est_time	est_crit_year	class	Policy Combined
low	0.7	0.2	0.5	5	1200	0.003	0.4	2101	0.39	0.601	0.0	-0.008	120.441	2221.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.2	0.5	5	1200	0.003	0.4	2101	0.283	0.176	-0.011	-0.025	13.777	2115.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.2	0.5	5	1200	0.003	0.4	2084	0.153	0.007	-0.022	-0.026	14.758	2084.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.2	0.5	5	1200	0.005	0.4	2101	0.332	0.543	-0.002	-0.009	99.631	2201.0	4.0	Nourishment (5 years) | Conservation
mean	0.7	0.2	0.5	5	1200	0.005	0.4	2101	0.227	0.119	-0.013	-0.026	9.049	2110.0	2.0	Nourishment (5 years) | Conservation
high	0.7	0.2	0.5	5	1200	0.005	0.4	2080	0.097	0.004	-0.023	-0.032	13.866	2080.0	1.0	Nourishment (5 years) | Conservation
low	0.7	0.2	0.5	10	400	0.003	0.4	2101	0.631	0.842	0.001	-0.011	120.061	2221.0	4.0	Nourishment (10 years) | Conservation
mean	0.7	0.2	0.5	10	400	0.003	0.4	2101	0.561	0.453	-0.007	-0.026	30.601	2132.0	3.0	Nourishment (10 years) | Conservation
high	0.7	0.2	0.5	10	400	0.003	0.4	2101	0.48	0.001	-0.02	-0.051	0.05	2101.0	2.0	Nourishment (10 years) | Conservation
low	0.7	0.2	0.5	10	400	0.005	0.4	2101	0.593	0.803	0.001	-0.012	104.626	2206.0	4.0	Nourishment (10 years) | Conservation
mean	0.7	0.2	0.5	10	400	0.005	0.4	2101	0.527	0.42	-0.008	-0.027	27.476	2128.0	2.0	Nourishment (10 years) | Conservation
high	0.7	0.2	0.5	10	400	0.005	0.4	2100	0.451	0.003	-0.02	-0.035	11.593	2100.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.2	0.0	1	1200	0.005	0.4	2101	0.206	0.417	-0.006	-0.009	82.809	2184.0	4.0	No nourishment | Conservation
mean	0.7	0.2	0.0	1	1200	0.005	0.4	2099	0.08	0.006	-0.018	-0.021	11.383	2099.0	1.0	No nourishment | Conservation
high	0.7	0.2	0.0	1	1200	0.005	0.4	2074	-0.076	0.003	-0.03	-0.031	11.613	2074.0	1.0	No nourishment | Conservation
low	0.7	0.2	0.3	10	400	0.005	0.6	2101	0.66	0.871	0.0	-0.01	123.099	2224.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.3	10	400	0.005	0.6	2101	0.6	0.492	-0.008	-0.023	34.158	2135.0	3.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.2	0.3	10	400	0.005	0.6	2101	0.538	0.059	-0.02	-0.044	2.519	2104.0	2.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.2	0.3	10	800	0.003	0.6	2101	0.558	0.769	0.001	-0.01	126.617	2228.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.3	10	800	0.003	0.6	2101	0.478	0.37	-0.008	-0.025	26.973	2128.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.2	0.3	10	1200	0.003	0.6	2089	0.234	0.008	-0.021	-0.034	10.002	2089.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.2	0.5	1	800	0.003	0.4	2101	0.683	0.894	0.002	-0.009	159.431	2260.0	4.0	Nourishment (annual) | Conservation
low	0.7	0.2	0.0	1	400	0.003	0.6	2101	0.68	0.891	0.0	-0.008	157.657	2259.0	4.0	No Nourishment | Marsh Restoration
mean	0.7	0.2	0.0	1	400	0.003	0.6	2101	0.615	0.508	-0.008	-0.02	40.243	2141.0	3.0	No Nourishment | Marsh Restoration
high	0.7	0.2	0.0	1	400	0.003	0.6	2101	0.548	0.069	-0.02	-0.04	3.277	2104.0	2.0	No Nourishment | Marsh Restoration
low	0.7	0.2	0.0	1	400	0.005	0.6	2101	0.646	0.857	-0.001	-0.008	148.761	2250.0	4.0	No Nourishment | Marsh Restoration
mean	0.7	0.2	0.0	1	400	0.005	0.6	2101	0.586	0.479	-0.008	-0.021	37.746	2139.0	3.0	No Nourishment | Marsh Restoration
low	0.7	0.2	0.5	10	800	0.003	0.4	2101	0.466	0.677	0.001	-0.01	106.362	2207.0	4.0	Nourishment (10 years) | Conservation
mean	0.7	0.2	0.5	10	800	0.003	0.4	2101	0.371	0.263	-0.009	-0.027	18.327	2119.0	2.0	Nourishment (10 years) | Conservation
high	0.7	0.2	0.5	10	800	0.003	0.4	2090	0.257	0.004	-0.021	-0.045	8.152	2090.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.2	0.5	10	800	0.005	0.4	2101	0.414	0.625	0.0	-0.012	89.347	2190.0	4.0	Nourishment (10 years) | Conservation
mean	0.7	0.2	0.5	10	800	0.005	0.4	2101	0.322	0.215	-0.01	-0.029	14.371	2115.0	2.0	Nourishment (10 years) | Conservation
high	0.7	0.2	0.5	10	800	0.005	0.4	2088	0.21	0.004	-0.021	-0.03	11.552	2088.0	1.0	Nourishment (10 years) | Conservation
mean	0.7	0.2	0.0	1	1200	0.003	0.6	2101	0.318	0.21	-0.011	-0.023	17.615	2119.0	2.0	No Nourishment | Marsh Restoration
high	0.7	0.2	0.0	1	1200	0.003	0.6	2086	0.194	0.006	-0.023	-0.03	13.099	2086.0	1.0	No Nourishment | Marsh Restoration
low	0.7	0.2	0.0	1	1200	0.005	0.6	2101	0.365	0.575	-0.002	-0.008	120.886	2222.0	4.0	No Nourishment | Marsh Restoration
mean	0.7	0.2	0.0	1	1200	0.005	0.6	2101	0.264	0.157	-0.013	-0.023	12.872	2114.0	2.0	No Nourishment | Marsh Restoration
high	0.7	0.2	0.0	1	1200	0.005	0.6	2083	0.141	0.007	-0.024	-0.029	13.696	2083.0	1.0	No Nourishment | Marsh Restoration
low	0.7	0.2	0.5	5	800	0.003	0.4	2101	0.513	0.723	0.002	-0.009	134.902	2236.0	4.0	Nourishment (5 years) | Conservation
low	0.7	0.2	0.5	10	1200	0.003	0.4	2101	0.332	0.543	-0.002	-0.01	87.826	2189.0	4.0	Nourishment (10 years) | Conservation
mean	0.7	0.2	0.5	10	1200	0.003	0.4	2101	0.215	0.108	-0.013	-0.028	7.455	2108.0	2.0	Nourishment (10 years) | Conservation
low	0.7	0.2	0.5	1	800	0.003	0.6	2101	0.745	0.956	0.0	-0.009	164.699	2266.0	4.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.2	0.5	1	800	0.003	0.6	2101	0.631	0.152	-0.022	-0.046	7.255	2108.0	2.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.2	0.5	1	800	0.005	0.6	2101	0.713	0.923	0.0	-0.009	155.331	2256.0	4.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.2	0.5	1	1200	0.005	0.6	2101	0.65	0.861	0.001	-0.009	150.606	2252.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.2	0.5	1	1200	0.005	0.6	2101	0.59	0.483	-0.008	-0.024	38.154	2139.0	3.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.2	0.5	10	1200	0.003	0.4	2080	0.071	0.001	-0.024	-0.032	11.137	2080.0	1.0	Nourishment (10 years) | Conservation
mean	0.7	0.2	0.5	1	800	0.003	0.6	2101	0.688	0.58	-0.008	-0.023	45.628	2147.0	3.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.2	0.5	1	1200	0.005	0.6	2101	0.527	0.048	-0.023	-0.049	2.288	2103.0	2.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.2	0.5	5	1200	0.005	0.6	2101	0.382	0.275	-0.009	-0.025	20.806	2122.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.2	0.5	5	1200	0.005	0.6	2092	0.281	0.023	-0.021	-0.041	8.855	2092.0	1.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.2	0.5	5	800	0.005	0.6	2101	0.5	0.392	-0.008	-0.025	29.131	2130.0	3.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.2	0.5	5	800	0.005	0.6	2099	0.42	0.009	-0.021	-0.032	12.914	2099.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.2	0.5	5	1200	0.003	0.6	2101	0.513	0.723	0.002	-0.009	134.902	2236.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.2	0.5	5	1200	0.003	0.6	2101	0.426	0.318	-0.008	-0.025	24.736	2126.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.2	0.5	5	1200	0.003	0.6	2094	0.323	0.009	-0.02	-0.04	8.673	2094.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.2	0.5	5	1200	0.005	0.6	2101	0.467	0.677	0.0	-0.009	118.413	2219.0	4.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.2	0.5	10	400	0.005	0.6	2101	0.547	0.068	-0.02	-0.047	2.762	2104.0	2.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.2	0.5	10	800	0.003	0.6	2101	0.571	0.782	0.002	-0.011	115.129	2216.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.5	10	800	0.003	0.6	2101	0.492	0.384	-0.007	-0.027	26.2	2127.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.2	0.5	10	800	0.003	0.6	2098	0.401	0.01	-0.02	-0.034	11.426	2098.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.2	0.5	10	800	0.005	0.6	2101	0.529	0.74	0.001	-0.012	100.609	2202.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.5	10	800	0.005	0.6	2101	0.454	0.347	-0.008	-0.028	22.883	2124.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.2	0.5	10	800	0.005	0.6	2097	0.365	0.004	-0.02	-0.035	10.12	2097.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.2	0.5	10	1200	0.003	0.6	2101	0.466	0.677	0.001	-0.01	106.362	2207.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.3	10	800	0.005	0.4	2101	0.3	0.193	-0.011	-0.027	13.839	2115.0	2.0	Nourishment (10 years) | Conservation
high	0.7	0.2	0.3	10	800	0.005	0.4	2086	0.184	0.007	-0.022	-0.027	14.624	2086.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.2	0.3	1	800	0.003	0.6	2101	0.696	0.907	0.001	-0.009	157.969	2259.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.2	0.3	1	800	0.003	0.6	2101	0.637	0.53	-0.007	-0.023	42.056	2143.0	3.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.2	0.3	1	800	0.003	0.6	2101	0.571	0.092	-0.021	-0.046	4.398	2105.0	2.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.2	0.3	1	800	0.005	0.6	2101	0.666	0.877	0.0	-0.009	150.654	2252.0	4.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.2	0.3	5	400	0.003	0.6	2101	0.708	0.919	0.0	-0.009	151.166	2252.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.2	0.3	5	400	0.003	0.6	2101	0.651	0.544	-0.007	-0.021	41.358	2142.0	3.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.2	0.3	5	400	0.003	0.6	2101	0.584	0.105	-0.019	-0.041	4.835	2106.0	2.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.2	0.3	5	400	0.005	0.6	2101	0.679	0.889	0.0	-0.009	140.595	2242.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.2	0.3	5	400	0.005	0.6	2101	0.623	0.516	-0.008	-0.022	38.765	2140.0	3.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.2	0.3	5	1200	0.003	0.6	2101	0.389	0.281	-0.009	-0.024	22.412	2123.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.2	0.3	5	1200	0.003	0.6	2092	0.279	0.01	-0.021	-0.04	8.404	2092.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.2	0.3	5	1200	0.005	0.6	2101	0.431	0.642	0.0	-0.009	119.572	2221.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.2	0.3	5	1200	0.005	0.6	2101	0.342	0.234	-0.01	-0.025	18.289	2119.0	2.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.2	0.3	5	1200	0.005	0.6	2089	0.233	0.013	-0.022	-0.034	10.267	2089.0	1.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.2	0.3	10	800	0.003	0.6	2097	0.384	0.018	-0.02	-0.036	10.582	2097.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.2	0.3	10	800	0.005	0.6	2101	0.515	0.725	0.0	-0.01	110.681	2212.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.3	10	800	0.005	0.6	2101	0.438	0.331	-0.009	-0.026	23.495	2124.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.2	0.3	10	800	0.005	0.6	2095	0.347	0.016	-0.02	-0.038	9.692	2095.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.2	0.3	10	1200	0.003	0.6	2101	0.448	0.659	0.0	-0.009	116.804	2218.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.3	10	1200	0.003	0.6	2101	0.351	0.244	-0.01	-0.026	18.092	2119.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.05	0.0	1	400	0.003	0.4	2071	-0.16	0.008	-0.034	-0.031	12.061	2071.0	1.0	No nourishment | Conservation
high	0.7	0.05	0.5	10	1200	0.003	0.4	2064	-0.451	0.004	-0.044			2064.0	1.0	Nourishment (10 years) | Conservation
high	0.7	0.05	0.5	10	1200	0.005	0.4	2060	-0.552	0.01	-0.05			2060.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.05	0.0	1	400	0.005	0.4	2101	0.083	0.293	-0.009	-0.01	50.248	2151.0	3.0	No nourishment | Conservation
low	0.7	0.2	0.5	10	1200	0.005	0.4	2101	0.268	0.479	-0.003	-0.012	69.232	2170.0	4.0	Nourishment (10 years) | Conservation
mean	0.7	0.2	0.5	10	1200	0.005	0.4	2101	0.152	0.044	-0.015	-0.03	2.934	2104.0	2.0	Nourishment (10 years) | Conservation
high	0.7	0.2	0.5	10	1200	0.005	0.4	2077	0.008	0.019	-0.026	-0.026	14.353	2077.0	1.0	Nourishment (10 years) | Conservation
mean	0.7	0.2	0.5	1	800	0.005	0.6	2101	0.665	0.558	-0.009	-0.023	43.739	2145.0	3.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.2	0.5	1	800	0.005	0.6	2101	0.609	0.13	-0.023	-0.046	6.183	2107.0	2.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.2	0.5	1	1200	0.003	0.6	2101	0.683	0.894	0.002	-0.009	159.431	2260.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.2	0.5	1	1200	0.003	0.6	2101	0.619	0.512	-0.007	-0.024	40.754	2142.0	3.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.2	0.5	1	1200	0.003	0.6	2101	0.552	0.074	-0.022	-0.048	3.503	2105.0	2.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.2	0.5	5	800	0.003	0.6	2101	0.607	0.818	0.002	-0.009	140.066	2241.0	4.0	Nourishment (5 years) | Marsh Restoration
mean	0.7	0.2	0.5	5	800	0.003	0.6	2101	0.536	0.428	-0.007	-0.024	32.526	2134.0	3.0	Nourishment (5 years) | Marsh Restoration
high	0.7	0.2	0.5	5	800	0.003	0.6	2100	0.452	0.006	-0.02	-0.031	13.482	2100.0	1.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.2	0.5	5	800	0.005	0.6	2101	0.57	0.781	0.001	-0.01	127.154	2228.0	4.0	Nourishment (5 years) | Marsh Restoration
low	0.7	0.2	0.5	10	400	0.003	0.6	2101	0.698	0.909	0.0	-0.011	123.109	2224.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.5	10	400	0.003	0.6	2101	0.639	0.532	-0.007	-0.024	35.646	2137.0	3.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.2	0.5	10	400	0.003	0.6	2101	0.57	0.091	-0.019	-0.046	3.775	2105.0	2.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.2	0.5	10	400	0.005	0.6	2101	0.668	0.879	0.0	-0.011	112.136	2213.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.5	10	400	0.005	0.6	2101	0.61	0.502	-0.008	-0.025	32.648	2134.0	3.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.5	10	1200	0.003	0.6	2101	0.371	0.263	-0.009	-0.027	18.327	2119.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.2	0.5	10	1200	0.003	0.6	2090	0.257	0.004	-0.021	-0.045	8.152	2090.0	1.0	Nourishment (10 years) | Marsh Restoration
low	0.7	0.2	0.5	10	1200	0.005	0.6	2101	0.414	0.625	0.0	-0.012	89.347	2190.0	4.0	Nourishment (10 years) | Marsh Restoration
mean	0.7	0.2	0.5	10	1200	0.005	0.6	2101	0.322	0.215	-0.01	-0.029	14.371	2115.0	2.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.2	0.5	10	1200	0.005	0.6	2088	0.21	0.004	-0.021	-0.03	11.552	2088.0	1.0	Nourishment (10 years) | Marsh Restoration
high	0.7	0.05	0.0	1	400	0.003	0.6	2079	0.055	0.01	-0.026	-0.031	12.654	2079.0		Example 1)
mean	0.7	0.05	0.0	1	400	0.003	0.4	2094	0.018	0.009	-0.019	-0.024	9.876	2094.0		Example 2)
high	0.7	0.05	0.0	1	400	0.003	0.4	2071	-0.16	0.008	-0.034	-0.031	12.061	2071.0		Example 3)
